priority,plane,weight,isStunned,priority,plane,weight,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,
None,Base,100,False,None,Base,100,

