priority,plane,weight,wasLastWeaponHitscan,timeOfFire,lengthOfHitscanShot,shotEndTime,isShotComplete,priority,plane,weight,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
None,Base,100,False,0,0,0,False,None,Base,100,
FireWeapon,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,False,FireWeapon,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
None,Base,100,True,0.766666706651449,0.200000002980232,0.966666709631681,True,None,Base,100,
